id,name,birth_canton,lat,long,wikidata_uri
657,"Ilsenburg am Harz",Etranger,,,
658,Cannes,Etranger,,,
659,Territet,VD,,,
660,Porrentruy,"BE (aujourd'hui JU)",,,
661,Dottikon,AG,,,
662,Wiesbaden,Etranger,,,
663,Argenteuil,Etranger,,,
664,"Les Bois","BE (aujourd'hui JU)",,,
665,Manille,Etranger,,,
666,Essen,Etranger,,,
667,Sempach,LU,,,
668,Bussnang,TG,,,
669,Dresden,Etranger,,,
670,Frankfurt,Etranger,,,
671,Latterbach,BE,,,
672,"Neustadt an der Weinstraße",Etranger,,,
673,"Münchwilen",TG,,,
674,Pockau,Etranger,,,
675,"Dübendorf",ZH,,,
676,"Täuffelen",BE,,,
677,"Le Creusot",Etranger,,,
678,Sagogn,GR,,,
679,Hamburg,Etranger,,,
680,S-chanf,GR,,,
681,"Bresse (Ain)",Etranger,,,
682,Oberwichtrach,BE,,,
683,"Foëcy",Etranger,,,
684,"Münchenstein",BS,,,
685,"La Lance",VD,,,
686,Rome,Etranger,,,
687,Breitenbach,SO,,,
688,Kreuzlingen,TG,,,
689,Ermatingen,TG,,,
690,Arona,Etranger,,,
691,Bargen,BE,,,
692,Pernambouc,Etranger,,,
693,Birsfelden,BL,,,
694,Steinach,SG,,,
695,Sent,GR,,,
696,Grellingen,BE,,,
697,Odessa,Etranger,,,
698,Buch,ZH,,,
699,Bucarest,Etranger,,,
700,Frutigen,BE,,,
701,Lonigo,Etranger,,,
702,Gand,Etranger,,,
703,Klingnau,AG,,,
704,"Le Landeron",NE,,,
705,"Aesch (BL)",BL,,,
706,Laufon,"BE (aujourd'hui BL)",,,
707,"Hätzingen",GL,,,
708,Bolken,SO,,,
709,Rheinfelden,AG,,,
710,Gonobitz,Etranger,,,
711,Farningham,Etranger,,,
712,Bruxelles,Etranger,,,
713,Waldenburg,BL,,,
714,Arrufo,Etranger,,,
715,"Wangen ZH",ZH,,,
716,Kaiseraugst,AG,,,
717,"Gümligen ?",BE,,,
718,Saint-Prex,VD,,,
719,Rothenthurm,SZ,,,
720,Courfaivre,"BE (aujourd'hui JU)",,,
721,"Catane (Sicile)",Etranger,,,
722,"La Croix-sur-Lutry ?",VD,,,
723,Vuarrens,VD,,,
724,Canton,Etranger,,,
725,"La Neuveville",BE,,,
726,Erlenbach,ZH,,,
727,Kleindietwil,BE,,,
728,Dornbirn,Etranger,,,
729,Soubey,BE,,,
730,Charleroi,Etranger,,,
731,Haifa,Etranger,,,
732,"Singen am Hohentwiel",Etranger,,,
733,"Lansing, (Michigan)",Etranger,,,
734,Boston,Etranger,,,
735,Choindez,BE,,,
736,"Reno (Nevada)",Etranger,,,
737,Wuppertal,Etranger,,,
738,Alger,Etranger,,,
739,Westhofen,Etranger,,,
740,Boulogne-Billancourt,Etranger,,,
741,Calestano,Etranger,,,
742,"Mörfelden",Etranger,,,
743,Ravensburg,Etranger,,,
744,Klagenfurt,Etranger,,,
745,Petit-Lancy,GE,,,
746,Mussoorie,Etranger,,,
747,Randogne,VS,,,
748,Chevrilles,FR,,,
749,Maputo,Etranger,,,
750,Nidau,BE,,,
751,"Wiler (Lötschen)",VS,,,
752,Karlsbad,Etranger,,,
753,Bonfol,"BE (aujourd'hui JU)",,,
754,Schwarzenburg,BE,,,
755,Horn,TG,,,
756,Kienberg,SO,,,
757,Novazzano,TI,,,
758,Niedererlinsbach,SO,,,
759,"Wangen an der Aare",BE,,,
760,Vicenza,Etranger,,,
761,Gossau,SG,,,
762,Jaun,FR,,,
763,"Berg (SG)",SG,,,
764,"Châtel-Saint-Denis",FR,,,
765,Soubey,"BE (aujourd'hui JU)",,,
766,Henau,SG,,,
767,Bassecourt,"BE (aujourd'hui JU)",,,
768,Moukden,Etranger,,,
769,Pfaffenhofen,Etranger,,,
770,"Lengnau (AG)",AG,,,
771,"Busswil bei Melchnau",BE,,,
772,"Saignelégier",BE,,,
773,Reinach,BL,,,
774,Rorschach,SG,,,
775,Niederurnen,GL,,,
776,"Busswil bei Büren",BE,,,
777,Epesses,VD,,,
778,Missy,VD,,,
779,Courrendlin,BE,,,
780,"Le Sentier (comm. du Chenit)",VD,,,
781,Lumino,TI,,,
782,"Sils im Domleschg",GR,,,
783,Varna,Etranger,,,
784,"Göschenen",UR,,,
785,Vernayaz,VS,,,
786,Oberhof,AG,,,
787,"Nilvange (Lorraine)",Etranger,,,
788,Saint-Moritz,GR,,,
789,"Kleinhüningen (auj. Bâle)",BS,,,
790,"Mühledorf SO",SO,,,
791,Juriens,VD,,,
792,Farnern,BE,,,
793,Muolen,SG,,,
794,Buchs,SG,,,
795,"Muri bei Bern",BE,,,
796,Uttiwil,FR,,,
797,Nutenwil,SG,,,
798,Albeuve,FR,,,
799,Fiesch,VS,,,
800,"Les Posses-Dessus",VD,,,
801,"Lörrach",Etranger,,,
802,Khotine,Etranger,,,
803,"Seedorf BE",BE,,,
804,Oberhallau,SH,,,
805,Augst,BL,,,
806,Saint-Brais,BE,,,
807,"Storzeln bei Binningen",Etranger,,,
808,Mettendorf,SG,,,
809,Balsthal,SO,,,
810,"Bôle",NE,,,
811,"Besenbüren",AG,,,
812,Tourtemagne,VS,,,
813,"Kurzdorf (auj. Frauenfeld)",TG,,,
814,"Pont d'Ain",Etranger,,,
815,Travers,NE,,,
816,Magdala,Etranger,,,
817,Barbengo,TI,,,
818,"Poissy (Ile-de-France)",Etranger,,,
819,Walkringen,BE,,,
820,"Oberhofen am Thunersee",BE,,,
821,Ragaz,SG,,,
822,Risch,ZG,,,
823,Ebikon,LU,,,
824,Hallau,SH,,,
825,"château de Sclassin (auj. comm. Pepinster, Belgique)",Etranger,,,
826,"Hub (comm. Busswil, auj. comm. Sirnach)",TG,,,
827,Altikon,ZH,,,
828,"Portsmouth (New Hampshire)",Etranger,,,
829,"Sonnenberg (Hefenhofen)",TG,,,
830,Hefenhofen,TG,,,
831,"Lieli (auj. com. Hohenrain)",LU,,,
832,"Hottingen (auj. comm. Zurich)",ZH,,,
833,Birmenstorf,AG,,,
834,Ennenda,GL,,,
835,Court,BE,,,
836,Sagno,TI,,,
837,Leipzig,Etranger,,,
838,"Eisenach (Thuringe)",Etranger,,,
839,Martigny-Bourg,VS,,,
840,Steinmaur,ZH,,,
841,"Anzin (Nord-Pas-de-Calais)",Etranger,,,
842,"Breitenwang (Tyrol)",Etranger,,,
843,Colombier,NE,,,
844,"Lons-le-Saunier (Jura)",Etranger,,,
845,Fontaines,NE,,,
846,"Steinegg (comm. Rüte)",AI,,,
847,Rheineck,SG,,,
