id,name,birth_canton,lat,long,wikidata_uri
321,Sulgen,TG,,,
322,Bordeaux,Etranger,,,
323,Echallens,VD,46.6413,6.63317,https://www.wikidata.org/wiki/Q22364065
324,Bellegarde,Etranger,,,
325,Iowa City,Etranger,,,
326,Toronto,Etranger,,,
327,Verrières,Etranger,,,
328,Treysa,Etranger,,,
329,Blaubeuren,Etranger,,,
330,Tübingen,Etranger,,,
331,Ilmenau,Etranger,,,
332,Radès,Etranger,,,
333,Neuchâtel,VD,,,
334,Prague,Etranger,,,
335,Môtiers,NE,,,
336,Bad Berleburg,Etranger,51.04972222222222,8.4,https://www.wikidata.org/wiki/Q10944
337,Chemnitz,Etranger,,,
338,Darmstadt,Etranger,,,
339,Eschweiler,Etranger,,,
340,Fällanden,ZH,,,
341,Kilchberg,ZH,48.4889,9.01583,https://www.wikidata.org/wiki/Q119603
342,Kleinandelfingen,ZH,47.60058,8.68362,https://www.wikidata.org/wiki/Q22442585
343,Richterswil,ZH,,,
344,Morges,VD,,,
345,Granges-près-Marnand,VD,46.766666666667,6.8833333333333,https://www.wikidata.org/wiki/Q668880
346,Le Lieu,VD,46.6468,6.2817,https://www.wikidata.org/wiki/Q56273583
347,Begnins,VD,46.44152,6.24762,https://www.wikidata.org/wiki/Q22369788
348,Avenches,VD,46.88004,7.04071,https://www.wikidata.org/wiki/Q56438249
349,Arzier,VD,46.45962,6.20813,https://www.wikidata.org/wiki/Q22697039
350,Crissier,VD,46.55,6.5833333333333,https://www.wikidata.org/wiki/Q57121
351,Vladimir,Etranger,56.12861111111111,40.405833333333334,https://www.wikidata.org/wiki/Q2684
352,Chexbres,VD,46.48208,6.77805,https://www.wikidata.org/wiki/Q22490557
353,"Jongny (Vevey, Switzerland)",VD,46.47883,6.84114,https://www.wikidata.org/wiki/Q22487158
354,Bière,VD,,,
355,Lucens,VD,46.70854,6.83931,https://www.wikidata.org/wiki/Q22595619
356,"Amillis, Seine-et-Marne",Etranger,,,
357,Cressier,NE,47.0508,7.0356,https://www.wikidata.org/wiki/Q70139
358,Moudon,VD,46.66947,6.80127,https://www.wikidata.org/wiki/Q22409836
359,Château-d'Œx,VD,46.474,7.1295,https://www.wikidata.org/wiki/Q22484411
360,Buenos Aires,Etranger,,,
361,Grasswil,BE,47.145803567657246,7.666631214658664,https://www.wikidata.org/wiki/Q99437716
362,Ennetbühl SG,SG,,,
363,Krompach,Etranger,,,
364,Zug,ZG,,,
365,Breslau,Etranger,,,
366,Merksem-Antwerpen,Etranger,,,
367,Kirberg,Etranger,,,
368,Poggio A Caiano,Etranger,43.81378,11.05186,https://www.wikidata.org/wiki/Q49288097
369,Providence,Etranger,,,
370,Teufen,AR,,,
371,Saint-Yrieix-la-Perche,Etranger,,,
372,Muri,AG,,,
373,Couvet,NE,46.923056,6.633889,https://www.wikidata.org/wiki/Q688493
374,Rio Novo,Etranger,,,
375,Arnsberg,Etranger,,,
376,Lauchhammer/Senftenberg,Etranger,,,
377,Viganello,TI,46.016666666667,8.9833333333333,https://www.wikidata.org/wiki/Q693420
378,Croglio,TI,45.98849,8.84214,https://www.wikidata.org/wiki/Q70212
379,Heemstede,Etranger,,,
380,Istanbul,Etranger,,,
381,Sullens,VD,,,
382,Rorbas,ZH,47.53092,8.57555,https://www.wikidata.org/wiki/Q22462138
383,Männedorf,ZH,,,
384,Beggingen,SH,47.76737,8.53535,https://www.wikidata.org/wiki/Q22369547
385,Berg am Irchel,ZH,,,
386,Regensberg,ZH,,,
387,Glattfelden,ZH,,,
388,Pfäffikon,ZH,47.366666666667,8.7822222222222,https://www.wikidata.org/wiki/Q68269
389,Lienheim,Etranger,,,https://www.wikidata.org/wiki/Q112898924
390,Mümliswil-Ramiswil,SO,,,
391,Gamshurst,Etranger,48.665555555556,8.0188888888889,https://www.wikidata.org/wiki/Q322365
392,Dielsdorf,ZH,,,
393,Turbenthal,ZH,47.43633,8.84629,https://www.wikidata.org/wiki/Q22357290
394,Rapperswil,SG,,,
395,Bauma,ZH,,,
396,Stadel,ZH,,,
397,Rümlang,ZH,,,
398,Füssen,Etranger,,,
399,Seegraben,ZH,47.895833333333336,15.913333333333334,https://www.wikidata.org/wiki/Q83952046
400,Burgdorf,BE,,,
401,Glaris,GL,,,
402,Bonneville,Etranger,,,
403,Kappel,SO,,,
404,Andelfingen,ZH,,,
405,Reute,AR,,,
406,Auvernier,NE,46.9763,6.8783,https://www.wikidata.org/wiki/Q70385
407,Champéry,VS,,,
408,Mettmenstetten,ZH,47.24529,8.46347,https://www.wikidata.org/wiki/Q22499750
409,Corbeyrier,VD,,,
410,Meyrin,GE,,,
411,Egelshofen,TG,,,
412,Oberuzwil,SG,,,
413,Volken,ZH,,,
414,Maschwanden,ZH,,,
415,Biglen,BE,46.92629,7.62508,https://www.wikidata.org/wiki/Q22435266
416,Germersheim,Etranger,,,
417,Feuerthalen,ZH,47.69054,8.64357,https://www.wikidata.org/wiki/Q22463759
418,Affeltrangen,TG,47.525833333333,9.0330555555556,https://www.wikidata.org/wiki/Q22363434
419,Uhwiesen,ZH,47.67074,8.63542,https://www.wikidata.org/wiki/Q22699445
420,Flaach,ZH,47.576388888889,8.6091666666667,https://www.wikidata.org/wiki/Q70367
421,Hottingen-Zurich,ZH,,,
422,Waltalingen,ZH,,,
423,Hersfeld,Etranger,,,
424,Wasterkingen,ZH,,,
425,Braunwald,GL,46.933055555556,9,https://www.wikidata.org/wiki/Q617569
426,Osterfingen,SH,,,
427,Jussy,GE,46.2359,6.26701,https://www.wikidata.org/wiki/Q22492286
428,Lanzenmoos,ZH,,,
429,Vordemwald,AG,47.27585,7.90114,https://www.wikidata.org/wiki/Q22429969
430,Langnau,BE,,,
431,Wattenwil,ZH,,,
432,Porrentruy,JU,,,
433,Altnau,TG,,,
434,Arlesheim,BL,,,
435,Copponex,Etranger,,,
436,Troinex,GE,,,
437,Villars-Mendraz,VD,46.65,6.7333333333333,https://www.wikidata.org/wiki/Q678869
438,Bülach,ZH,,,
439,Würzburg,Etranger,,,
440,Unterstrass,ZH,,,
441,Waldenburg,Etranger,,,
442,Schaffhausen Siblingen,SH,,,
443,Saint-Julien-en-Genevois,Etranger,,,
444,Chicago,Etranger,,,
445,Oberhofen,TG,47.6186,9.1933,https://www.wikidata.org/wiki/Q7074740
446,Strzelce Opolskie,Etranger,50.5,18.283333333333335,https://www.wikidata.org/wiki/Q510827
447,Bad Cannstatt,Etranger,48.8056,9.2141,https://www.wikidata.org/wiki/Q656982
448,Frick,AG,47.51169,8.02471,https://www.wikidata.org/wiki/Q22578706
449,Altdorf,UR,,,
450,Anet,BE,,,
451,Feldbrunnen-Sankt Niklaus,SO,,,
452,Herrliberg,ZH,47.29064,8.61464,https://www.wikidata.org/wiki/Q22619435
