id,name,wikidata_uri
502,"Espagnole et Suisse (Espagnole",
503,"Suisse et Tchèque",
504,"Suédoise et Japonaise",
505,"Israélienne?",
506,"Américaine et canadienne",
507,Ecossaise,
508,"Suisse et Hollandais",
509,"Brésilienne et italienne",
510,"Française et américaine",
511,"Allemande et brésilienne",
512,"puis Suisse (1896)",
513,"anglaise et américaine",
514,"Suisse et suédoise",
515,"Allemande et Nouvelle-Zélande",
516,"Turque et  suisse",
517,"Française et israéiienne",
518,"Suisse et hollandaise",
519,"anglaise et française",
520,"Suisse et chinoise (Hong Kong)",
521,"Chypriote et israélienne",
522,Saoudienne,
523,"Canadienne et suisse",
524,"Néerlandais",
525,"Indienne et Américaine",
526,"Canadienne et française",
527,"Suisse et Suédoise",
528,Malaisienne,
529,"Israélienne et américaine",
530,Philippine,
531,"Américaine et hollandaise",
