id,name,birth_canton,frequency
478,Courtelary,BE,4.0
479,Wattwil,SG,18.0
480,Einsiedeln,SZ,17.0
481,Murten,BE,1.0
482,Mels,SG,2.0
483,Hinwil,ZH,5.0
484,Kehl-Kork,Etranger,1.0
485,Oberägeri,ZG,3.0
486,Binzhou,Etranger,1.0
487,Schönenberg,ZH,2.0
488,Schwytz,SZ,28.0
489,Alvaneu,GR,1.0
490,Casablanca,Etranger,5.0
491,Munich,Etranger,35.0
492,Třinec,Etranger,1.0
493,Mitlödi,GL,2.0
494,Eriswil,BE,2.0
495,Zernez,GR,2.0
496,"Emmendingen, Breisgau, Baden",Etranger,1.0
497,Lennep,Etranger,1.0
498,Münchenstein,BL,4.0
499,Presinge,GE,1.0
500,Kerzers,FR,4.0
501,Langenbruck,BL,4.0
502,Kriens,LU,8.0
503,Thoune,ZH,
504,Wollishofen (auj. comm. Zurich),ZH,2.0
505,Galaţi,Etranger,1.0
506,Grandvaux,VD,1.0
507,Froideville,VD,3.0
508,Le Fuet,BE,3.0
509,Schwanden,GL,7.0
510,Pfäfers,SG,1.0
511,Mulhouse,Etranger,20.0
512,Croy,VD,2.0
513,Goumoëns,VD,1.0
514,Bursins,VD,3.0
515,Ouchy,VD,6.0
516,Montheron,VD,1.0
517,L'Abbaye,VD,1.0
518,Amsterdam,Etranger,9.0
519,Versailles,Etranger,6.0
520,Jassy,Etranger,1.0
521,Edimbourg,Etranger,1.0
522,Quakenbrück,Etranger,1.0
523,Osterode,Etranger,1.0
524,Rothenfluh,BL,5.0
525,Münster,Etranger,9.0
526,Frenkendorf,BL,2.0
527,Grandval,BE,1.0
528,Lons-le-Saunier,Etranger,1.0
529,Davos,GR,18.0
530,Coinsins,VD,1.0
531,Neuilly-sur-Seine,Etranger,5.0
532,Copenhague,Etranger,4.0
533,Yverdon-les-Bains,VD,11.0
534,Stockholm,Etranger,5.0
535,Spreitenbach,AG,1.0
536,Onex,GE,2.0
537,Neydens,Etranger,1.0
538,Corcelles-près-Payerne,VD,3.0
539,Wallisellen,ZH,6.0
540,Frankfurt (Oder),Etranger,1.0
541,Uerikon Stäfa,ZH,1.0
542,Unterhallau,SH,3.0
543,Herrenhof,TG,1.0
544,Vandoeuvres,GE,6.0
545,Tannay,VD,3.0
546,Avully,GE,5.0
547,Gingins,VD,2.0
548,Enge,ZH,2.0
549,Koppigen,BE,4.0
550,Diessenhofen,TG,3.0
551,Le Grand-Saconnex,GE,5.0
552,"Schwarzenegg, Unterlangenegg",BE,1.0
553,Törbel,VS,2.0
554,Münster,VS,
555,Chamoson,VS,5.0
556,Bramois,VS,2.0
557,Oron,VD,4.0
558,Bolligen,BE,3.0
559,Eptingen,BL,1.0
560,Heiligenschwendi,BE,2.0
561,Villars-Bozon,VD,1.0
562,Thun,BE,11.0
563,Porrentruy,JU,
564,Hasle,LU,2.0
565,Wittenbach,SG,4.0
566,Boudry,NE,7.0
567,Luchsingen,GL,3.0
568,Fontainemelon,NE,2.0
569,Saint-Aubin-Sauges,NE,1.0
570,Perroy,VD,1.0
571,Versoix,GE,7.0
572,Collonge-Bellerive,GE,3.0
573,Chéserex,VD,3.0
574,Saint-Livres,VD,2.0
575,Ellikon an der Thur,ZH,2.0
576,Udine,Etranger,2.0
577,Los Angeles,Etranger,3.0
578,Filderstadt,Etranger,1.0
579,Cortaillod,NE,6.0
580,"Baumgartenhof, comm. Bernardvillé (Alsace)",Etranger,1.0
581,Heidenheim,Etranger,1.0
582,Wittenwil,TG,1.0
583,Silvaplana,GR,1.0
584,Islikon,TG,4.0
585,Azmoos,SG,3.0
586,Tavannes,BE,2.0
587,Düsseldorf,Etranger,13.0
588,Tramelan,BE,9.0
589,Bützberg,BE,1.0
590,Bochum,Etranger,1.0
591,Wartau,SG,2.0
592,Ittigen,BE,2.0
593,Brittnau,AG,3.0
594,Biasca,TI,9.0
595,Kloster Serneus,GR,1.0
596,Andiast,GR,1.0
597,Meikirch,BE,2.0
598,Romanshorn,TG,15.0
599,Palazzuolo di Romagna,Etranger,1.0
600,Le Châble,VS,1.0
601,Lengnau bei Biel,BE,4.0
602,Wagenhausen,TG,1.0
603,Dessau,Etranger,1.0
604,Wipkingen,ZH,2.0
605,Uettligen,BE,2.0
606,Aesch (LU),LU,1.0
607,Bossonnens,FR,1.0
608,Eschenbach (LU),LU,1.0
609,Aurigeno,TI,1.0
610,Weimar,Etranger,3.0
611,Glarisegg,TG,1.0
612,Krauchtal,BE,1.0
613,Bernrain,TG,1.0
614,Castelrotto,TI,2.0
615,Ambrì,TI,3.0
616,Contra,TI,1.0
617,Muralto,TI,6.0
618,Le Châtelard,VD,3.0
619,Brenles,VD,1.0
620,Sumiswald,BE,5.0
621,Courroux,BE,1.0
622,Roggwil BE,BE,4.0
623,Dättlikon,ZH,1.0
624,Altstätten,SG,13.0
625,Reckingen,VS,1.0
626,"Borken, Westfalen",Etranger,1.0
627,Chieti,Etranger,2.0
628,Lanciano,Etranger,1.0
629,Villach,Etranger,2.0
630,Eisenharz (comm. Argenbühl dans l'Allgäu),Etranger,1.0
631,Stellenbosch (Cap),Etranger,1.0
632,Huttwil,BE,7.0
633,Bremen,Etranger,3.0
634,Gansingen,AG,2.0
635,Pompaples,VD,14.0
636,Vaduz,Etranger,2.0
637,Derby,Etranger,1.0
638,Möhlin,AG,3.0
639,Buhl,Etranger,2.0
640,Zell (Bade),Etranger,1.0
641,Töss,ZH,2.0
642,Lutzenberg,AR,5.0
643,Morat,FR,7.0
644,St Huberts,Etranger,1.0
645,Provence,VD,3.0
646,Saint-Pétersbourg,Etranger,16.0
647,Colmar,Etranger,6.0
648,Pregny,GE,5.0
649,Bachs,ZH,2.0
650,Schwanden bei Schüpfen,BE,1.0
651,San Francisco,Etranger,3.0
652,Lenzburg,AG,6.0
653,Töss (auj. comm. Winterthour),ZH,5.0
654,Mollis,GL,5.0
655,Montricher,VD,4.0
656,Allahabad,Etranger,1.0
657,Ilsenburg am Harz,Etranger,1.0
658,Cannes,Etranger,5.0
659,Territet,VD,4.0
660,Porrentruy,BE (aujourd'hui JU),
661,Dottikon,AG,1.0
662,Wiesbaden,Etranger,5.0
663,Argenteuil,Etranger,1.0
664,Les Bois,BE (aujourd'hui JU),2.0
665,Manille,Etranger,4.0
666,Essen,Etranger,8.0
667,Sempach,LU,2.0
668,Bussnang,TG,1.0
669,Dresden,Etranger,7.0
670,Frankfurt,Etranger,6.0
671,Latterbach,BE,3.0
672,Neustadt an der Weinstraße,Etranger,2.0
673,Münchwilen,TG,5.0
674,Pockau,Etranger,1.0
675,Dübendorf,ZH,2.0
676,Täuffelen,BE,2.0
677,Le Creusot,Etranger,1.0
678,Sagogn,GR,2.0
679,Hamburg,Etranger,3.0
680,S-chanf,GR,2.0
681,Bresse (Ain),Etranger,1.0
682,Oberwichtrach,BE,2.0
683,Foëcy,Etranger,1.0
684,Münchenstein,BS,
685,La Lance,VD,1.0
686,Rome,Etranger,25.0
687,Breitenbach,SO,3.0
688,Kreuzlingen,TG,16.0
689,Ermatingen,TG,5.0
690,Arona,Etranger,1.0
691,Bargen,BE,4.0
692,Pernambouc,Etranger,1.0
693,Birsfelden,BL,4.0
694,Steinach,SG,1.0
695,Sent,GR,3.0
696,Grellingen,BE,3.0
697,Odessa,Etranger,6.0
698,Buch,ZH,2.0
699,Bucarest,Etranger,3.0
700,Frutigen,BE,8.0
701,Lonigo,Etranger,1.0
702,Gand,Etranger,3.0
703,Klingnau,AG,2.0
704,Le Landeron,NE,2.0
705,Aesch (BL),BL,1.0
706,Laufon,BE (aujourd'hui BL),4.0
707,Hätzingen,GL,2.0
708,Bolken,SO,3.0
709,Rheinfelden,AG,7.0
710,Gonobitz,Etranger,1.0
711,Farningham,Etranger,1.0
712,Bruxelles,Etranger,17.0
713,Waldenburg,BL,3.0
714,Arrufo,Etranger,1.0
715,Wangen ZH,ZH,1.0
716,Kaiseraugst,AG,1.0
717,Gümligen ?,BE,2.0
718,Saint-Prex,VD,3.0
719,Rothenthurm,SZ,3.0
720,Courfaivre,BE (aujourd'hui JU),1.0
721,Catane (Sicile),Etranger,5.0
722,La Croix-sur-Lutry ?,VD,1.0
723,Vuarrens,VD,3.0
724,Canton,Etranger,1.0
725,La Neuveville,BE,7.0
726,Erlenbach,ZH,7.0
727,Kleindietwil,BE,1.0
728,Dornbirn,Etranger,3.0
729,Soubey,BE,2.0
730,Charleroi,Etranger,3.0
731,Haifa,Etranger,2.0
